турнир;Дата;Хозяева;Гости
RPL;2021-12-11;Rostov;Ural
RPL;2021-12-12;Dinamo Moscow;Zenit
RPL;2021-12-12;Akhmat Grozny;Khimki
RPL;2021-12-12;FC Krasnodar;Nizhny Novgorod
RPL;2021-12-12;Lokomotiv M.;Ufa
RPL;2021-12-13;PFC Sochi;Spartak Moscow
RPL;2022-02-26;Khimki;Dinamo Moscow
RPL;2022-02-26;Nizhny Novgorod;Ural
RPL;2022-02-26;PFC Sochi;Arsenal Tula
RPL;2022-02-26;Spartak Moscow;CSKA Moscow
RPL;2022-02-27;Akhmat Grozny;Ufa
RPL;2022-02-28;Zenit;Rubin Kazan
RPL;2022-03-05;CSKA Moscow;Nizhny Novgorod
RPL;2022-03-06;Krylya Sovetov;Arsenal Tula
RPL;2022-03-06;Lokomotiv M.;Khimki
RPL;2022-03-06;Dinamo Moscow;Spartak Moscow
RPL;2022-03-07;FC Krasnodar;Ural
RPL;2022-03-07;Rostov;PFC Sochi
RPL;2022-03-07;Zenit;Ufa
RPL;2022-03-07;Akhmat Grozny;Rubin Kazan
RPL;2022-03-12;Ufa;Nizhny Novgorod
RPL;2022-03-12;Arsenal Tula;Dinamo Moscow
RPL;2022-03-12;Lokomotiv M.;CSKA Moscow
RPL;2022-03-13;Ural;Akhmat Grozny
RPL;2022-03-13;Khimki;PFC Sochi
RPL;2022-03-13;Krylya Sovetov;Zenit
RPL;2022-03-13;Spartak Moscow;FC Krasnodar
RPL;2022-03-14;Rubin Kazan;Rostov
RPL;2022-03-19;Ural;Khimki
RPL;2022-03-19;Nizhny Novgorod;Spartak Moscow
RPL;2022-03-19;Akhmat Grozny;Lokomotiv M.
RPL;2022-03-19;Zenit;Arsenal Tula
RPL;2022-03-20;CSKA Moscow;Rubin Kazan
RPL;2022-03-20;Ufa;FC Krasnodar
RPL;2022-03-20;PFC Sochi;Krylya Sovetov
RPL;2022-03-20;Dinamo Moscow;Rostov
RPL;2022-04-01;Rubin Kazan;Khimki
RPL;2022-04-02;Arsenal Tula;Akhmat Grozny
RPL;2022-04-02;Krylya Sovetov;Ufa
RPL;2022-04-02;Rostov;Nizhny Novgorod
RPL;2022-04-02;Lokomotiv M.;Spartak Moscow
RPL;2022-04-03;FC Krasnodar;Dinamo Moscow
RPL;2022-04-03;CSKA Moscow;Ural
RPL;2022-04-03;PFC Sochi;Zenit
RPL;2022-04-06;Rostov;Krylya Sovetov
RPL;2022-04-09;Khimki;CSKA Moscow
RPL;2022-04-09;Nizhny Novgorod;Dinamo Moscow
RPL;2022-04-09;Rubin Kazan;FC Krasnodar
RPL;2022-04-09;Akhmat Grozny;Zenit
RPL;2022-04-10;Ural;Krylya Sovetov
RPL;2022-04-10;Ufa;PFC Sochi
RPL;2022-04-10;Spartak Moscow;Arsenal Tula
RPL;2022-04-10;Rostov;Lokomotiv M.
RPL;2022-04-15;Dinamo Moscow;Akhmat Grozny
RPL;2022-04-16;Ufa;CSKA Moscow
RPL;2022-04-16;Zenit;Ural
RPL;2022-04-16;Spartak Moscow;Rubin Kazan
RPL;2022-04-17;Arsenal Tula;Rostov
RPL;2022-04-17;Krylya Sovetov;FC Krasnodar
RPL;2022-04-17;PFC Sochi;Lokomotiv M.
RPL;2022-04-17;Nizhny Novgorod;Khimki
RPL;2022-04-23;Ural;Ufa
RPL;2022-04-23;Lokomotiv M.;Nizhny Novgorod
RPL;2022-04-23;PFC Sochi;Akhmat Grozny
RPL;2022-04-24;Khimki;Krylya Sovetov
RPL;2022-04-24;Rubin Kazan;Arsenal Tula
RPL;2022-04-24;Rostov;Spartak Moscow
RPL;2022-04-24;CSKA Moscow;Dinamo Moscow
RPL;2022-04-25;FC Krasnodar;Zenit
RPL;2022-04-30;Dinamo Moscow;Ural
RPL;2022-04-30;Rubin Kazan;PFC Sochi
RPL;2022-04-30;FC Krasnodar;Rostov
RPL;2022-04-30;Zenit;Lokomotiv M.
RPL;2022-05-01;Spartak Moscow;Krylya Sovetov
RPL;2022-05-01;Khimki;Ufa
RPL;2022-05-01;Akhmat Grozny;CSKA Moscow
RPL;2022-05-02;Arsenal Tula;Nizhny Novgorod
RPL;2022-05-04;FC Krasnodar;Lokomotiv M.
RPL;2022-05-06;Krylya Sovetov;Dinamo Moscow
RPL;2022-05-07;Ural;Spartak Moscow
RPL;2022-05-07;Nizhny Novgorod;Akhmat Grozny
RPL;2022-05-07;Zenit;Khimki
RPL;2022-05-07;CSKA Moscow;PFC Sochi
RPL;2022-05-08;Ufa;Rostov
RPL;2022-05-08;Arsenal Tula;FC Krasnodar
RPL;2022-05-08;Lokomotiv M.;Rubin Kazan
RPL;2022-05-13;PFC Sochi;Nizhny Novgorod
RPL;2022-05-14;Ufa;Arsenal Tula
RPL;2022-05-14;Lokomotiv M.;Dinamo Moscow
RPL;2022-05-14;Rostov;Khimki
RPL;2022-05-14;Akhmat Grozny;Krylya Sovetov
RPL;2022-05-15;Ural;Rubin Kazan
RPL;2022-05-15;Spartak Moscow;Zenit
RPL;2022-05-15;FC Krasnodar;CSKA Moscow
RPL;2022-05-21;Arsenal Tula;Ural
RPL;2022-05-21;CSKA Moscow;Rostov
RPL;2022-05-21;Dinamo Moscow;PFC Sochi
RPL;2022-05-21;FC Krasnodar;Akhmat Grozny
RPL;2022-05-21;Khimki;Spartak Moscow
RPL;2022-05-21;Krylya Sovetov;Lokomotiv M.
RPL;2022-05-21;Nizhny Novgorod;Zenit
RPL;2022-05-21;Rubin Kazan;Ufa
Coupe de France;2021-12-16;Н/О_Валансьен;Strasbourg
Coupe de France;2021-12-17;Н/О_Париж;Lyon
Coupe de France;2021-12-18;Troyes;Н/О_Нанси
Coupe de France;2021-12-18;Н/О_Паназоль;Н/О_Витре
Coupe de France;2021-12-18;Н/О_Сар-Юньон;Н/О_Версаль
Coupe de France;2021-12-18;Н/О_Тулуза;Н/О_Ним
Coupe de France;2021-12-18;Н/О_О-Лионне;Н/О_Бастия
Coupe de France;2021-12-18;Н/О_Сошо;Nantes
Coupe de France;2021-12-18;Н/О_Жюра Зюд;Н/О_Сен-Дени
Coupe de France;2021-12-18;Н/О_Шмен-Ба-д`Авиньон;Clermont
Coupe de France;2021-12-18;Н/О_Генгам;Н/О_Амьен
Coupe de France;2021-12-18;Н/О_Кретей;Н/О_Венисье
Coupe de France;2021-12-18;Н/О_Канн;Н/О_Дижон
Coupe de France;2021-12-18;Н/О_Кевийи;Н/О_Лаваль
Coupe de France;2021-12-18;Н/О_Таон;Н/О_Бове
Coupe de France;2021-12-18;Lille;Н/О_Осер
Coupe de France;2021-12-18;Rennes;Lorient
Coupe de France;2021-12-19;Н/О_Бержерак;Metz
Coupe de France;2021-12-19;Н/О_Спортинг Лион;Saint-Etienne
Coupe de France;2021-12-19;Н/О_Ред Стар;Monaco
Coupe de France;2021-12-19;Н/О_Пуатье;Lens
Coupe de France;2021-12-19;Marseille;Н/О_Канне
Coupe de France;2021-12-19;Н/О_Васкеаль;Н/О_Ванн
Coupe de France;2021-12-19;Н/О_Реймс Сент-Анн;Reims
Coupe de France;2021-12-19;Н/О_Лина-Монлери;Angers
Coupe de France;2021-12-19;Н/О_Андрезье;Montpellier
Coupe de France;2021-12-19;Н/О_Динан Леон;Brest
Coupe de France;2021-12-19;Н/О_Монтобан;Н/О_ВФ Ля-Рош-сюр-Йон
Coupe de France;2021-12-19;Н/О_Шовиньи;Н/О_Се-Шартр
Coupe de France;2021-12-19;Н/О_Шоле;Nice
Coupe de France;2021-12-19;Bordeaux;Н/О_Ле-Жюмо
Coupe de France;2021-12-19;Н/О_Феньи-Ольнуа;Paris SG
Coupe de France;;Nice;Н/О_
Coupe de France;2022-01-02;Н/О_Канн;Н/О_Тулуза
Coupe de France;2022-01-02;Н/О_Версаль;Н/О_ВФ Ля-Рош-сюр-Йон
Coupe de France;2022-01-02;Nantes;Н/О_Витре
Coupe de France;2022-01-02;Brest;Bordeaux
Coupe de France;2022-01-02;Н/О_Нанси;Rennes
Coupe de France;2022-01-02;Н/О_Бержерак;Н/О_Кретей
Coupe de France;2022-01-02;Montpellier;Strasbourg
Coupe de France;2022-01-02;Н/О_Бастия;Clermont
Coupe de France;2022-01-02;Н/О_Жюра Зюд;Saint-Etienne
Coupe de France;2022-01-02;Н/О_Лина-Монлери;Н/О_Амьен
Coupe de France;2022-01-02;Н/О_Таон;Reims
Coupe de France;2022-01-02;Н/О_Кевийи;Monaco
Coupe de France;2022-01-02;Н/О_Шовиньи;Marseille
Coupe de France;2022-01-03;Н/О_Ванн;Paris SG
Coupe de France;2022-01-04;Lens;Lille
Coupe de France;2022-01-28;Nantes;Brest
Coupe de France;2022-01-29;Н/О_Тулуза;Н/О_Версаль
Coupe de France;2022-01-29;Н/О_Нанси;Н/О_Амьен
Coupe de France;2022-01-29;Reims;Н/О_Бастия
Coupe de France;2022-01-29;Marseille;Montpellier
Coupe de France;2022-01-30;Н/О_Бержерак;Saint-Etienne
Coupe de France;2022-01-30;Lens;Monaco
Coupe de France;2022-01-31;Paris SG;Nice
Coupe de France;2022-02-08;Monaco;Н/О_Амьен
Coupe de France;2022-02-09;Н/О_Бержерак;Н/О_Версаль
Coupe de France;2022-02-09;Nice;Marseille
Coupe de France;2022-02-10;Nantes;Н/О_Бастия
Coupe de France;2022-03-01;Nice;Н/О_Версаль
Coupe de France;2022-03-02;Nantes;Monaco
Coupe de France;2022-05-07;Nice;Nantes
UEFA Europa League;2021-09-15;Spartak Moscow;Н/О_Легия
UEFA Europa League;2021-09-16;Н/О_Рапид Вена;Н/О_Генк
UEFA Europa League;2021-09-16;Н/О_Мидтьюлланд;Н/О_Лудогорец
UEFA Europa League;2021-09-16;Real Betis;Н/О_Селтик
UEFA Europa League;2021-09-16;Leverkusen;Н/О_Ференцварош
UEFA Europa League;2021-09-16;Н/О_Динамо Загреб;West Ham Utd
UEFA Europa League;2021-09-16;Н/О_Црвена Звезда;Н/О_Брага
UEFA Europa League;2021-09-16;Lokomotiv M.;Marseille
UEFA Europa League;2021-09-16;Н/О_Галатасарай;Н/О_Лацио
UEFA Europa League;2021-09-16;E. Frankfurt;Н/О_Фенербахче
UEFA Europa League;2021-09-16;Leicester City;Н/О_Наполи
UEFA Europa League;2021-09-16;Н/О_ПСВ;Real Sociedad
UEFA Europa League;2021-09-16;Н/О_Рейнджерс;Lyon
UEFA Europa League;2021-09-16;Monaco;Н/О_Штурм
UEFA Europa League;2021-09-16;Н/О_Брондбю;Н/О_Спарта Прага
UEFA Europa League;2021-09-16;Н/О_Олимпиакос;Н/О_Антверпен
UEFA Europa League;2021-09-30;Н/О_Наполи;Spartak Moscow
UEFA Europa League;2021-09-30;Н/О_Антверпен;E. Frankfurt
UEFA Europa League;2021-09-30;Real Sociedad;Monaco
UEFA Europa League;2021-09-30;Н/О_Легия;Leicester City
UEFA Europa League;2021-09-30;Н/О_Фенербахче;Н/О_Олимпиакос
UEFA Europa League;2021-09-30;Н/О_Спарта Прага;Н/О_Рейнджерс
UEFA Europa League;2021-09-30;Lyon;Н/О_Брондбю
UEFA Europa League;2021-09-30;Н/О_Штурм;Н/О_ПСВ
UEFA Europa League;2021-09-30;Marseille;Н/О_Галатасарай
UEFA Europa League;2021-09-30;Н/О_Лудогорец;Н/О_Црвена Звезда
UEFA Europa League;2021-09-30;Н/О_Генк;Н/О_Динамо Загреб
UEFA Europa League;2021-09-30;Н/О_Брага;Н/О_Мидтьюлланд
UEFA Europa League;2021-09-30;West Ham Utd;Н/О_Рапид Вена
UEFA Europa League;2021-09-30;Н/О_Селтик;Leverkusen
UEFA Europa League;2021-09-30;Н/О_Ференцварош;Real Betis
UEFA Europa League;2021-09-30;Н/О_Лацио;Lokomotiv M.
UEFA Europa League;2021-10-19;Н/О_Селтик;Н/О_Ференцварош
UEFA Europa League;2021-10-20;Spartak Moscow;Leicester City
UEFA Europa League;2021-10-21;Н/О_Лудогорец;Н/О_Брага
UEFA Europa League;2021-10-21;Н/О_Фенербахче;Н/О_Антверпен
UEFA Europa League;2021-10-21;Real Betis;Leverkusen
UEFA Europa League;2021-10-21;Н/О_Рапид Вена;Н/О_Динамо Загреб
UEFA Europa League;2021-10-21;Н/О_Мидтьюлланд;Н/О_Црвена Звезда
UEFA Europa League;2021-10-21;Н/О_Лацио;Marseille
UEFA Europa League;2021-10-21;Н/О_Спарта Прага;Lyon
UEFA Europa League;2021-10-21;E. Frankfurt;Н/О_Олимпиакос
UEFA Europa League;2021-10-21;Н/О_Штурм;Real Sociedad
UEFA Europa League;2021-10-21;Н/О_Наполи;Н/О_Легия
UEFA Europa League;2021-10-21;Н/О_Рейнджерс;Н/О_Брондбю
UEFA Europa League;2021-10-21;Lokomotiv M.;Н/О_Галатасарай
UEFA Europa League;2021-10-21;Н/О_ПСВ;Monaco
UEFA Europa League;2021-10-21;West Ham Utd;Н/О_Генк
UEFA Europa League;2021-11-04;Н/О_Галатасарай;Lokomotiv M.
UEFA Europa League;2021-11-04;Н/О_Легия;Н/О_Наполи
UEFA Europa League;2021-11-04;Н/О_Олимпиакос;E. Frankfurt
UEFA Europa League;2021-11-04;Н/О_Генк;West Ham Utd
UEFA Europa League;2021-11-04;Real Sociedad;Н/О_Штурм
UEFA Europa League;2021-11-04;Lyon;Н/О_Спарта Прага
UEFA Europa League;2021-11-04;Н/О_Брондбю;Н/О_Рейнджерс
UEFA Europa League;2021-11-04;Monaco;Н/О_ПСВ
UEFA Europa League;2021-11-04;Marseille;Н/О_Лацио
UEFA Europa League;2021-11-04;Н/О_Црвена Звезда;Н/О_Мидтьюлланд
UEFA Europa League;2021-11-04;Н/О_Динамо Загреб;Н/О_Рапид Вена
UEFA Europa League;2021-11-04;Н/О_Ференцварош;Н/О_Селтик
UEFA Europa League;2021-11-04;Leicester City;Spartak Moscow
UEFA Europa League;2021-11-04;Leverkusen;Real Betis
UEFA Europa League;2021-11-04;Н/О_Брага;Н/О_Лудогорец
UEFA Europa League;2021-11-04;Н/О_Антверпен;Н/О_Фенербахче
UEFA Europa League;2021-11-24;Spartak Moscow;Н/О_Наполи
UEFA Europa League;2021-11-25;Н/О_Галатасарай;Marseille
UEFA Europa League;2021-11-25;Lokomotiv M.;Н/О_Лацио
UEFA Europa League;2021-11-25;Leverkusen;Н/О_Селтик
UEFA Europa League;2021-11-25;Н/О_Динамо Загреб;Н/О_Генк
UEFA Europa League;2021-11-25;Н/О_Мидтьюлланд;Н/О_Брага
UEFA Europa League;2021-11-25;Н/О_Рапид Вена;West Ham Utd
UEFA Europa League;2021-11-25;Н/О_Црвена Звезда;Н/О_Лудогорец
UEFA Europa League;2021-11-25;Real Betis;Н/О_Ференцварош
UEFA Europa League;2021-11-25;Monaco;Real Sociedad
UEFA Europa League;2021-11-25;E. Frankfurt;Н/О_Антверпен
UEFA Europa League;2021-11-25;Н/О_Брондбю;Lyon
UEFA Europa League;2021-11-25;Leicester City;Н/О_Легия
UEFA Europa League;2021-11-25;Н/О_ПСВ;Н/О_Штурм
UEFA Europa League;2021-11-25;Н/О_Рейнджерс;Н/О_Спарта Прага
UEFA Europa League;2021-11-25;Н/О_Олимпиакос;Н/О_Фенербахче
UEFA Europa League;2021-12-09;Lyon;Н/О_Рейнджерс
UEFA Europa League;2021-12-09;Н/О_Легия;Spartak Moscow
UEFA Europa League;2021-12-09;Н/О_Наполи;Leicester City
UEFA Europa League;2021-12-09;Real Sociedad;Н/О_ПСВ
UEFA Europa League;2021-12-09;Н/О_Спарта Прага;Н/О_Брондбю
UEFA Europa League;2021-12-09;Н/О_Фенербахче;E. Frankfurt
UEFA Europa League;2021-12-09;Н/О_Антверпен;Н/О_Олимпиакос
UEFA Europa League;2021-12-09;Н/О_Штурм;Monaco
UEFA Europa League;2021-12-09;West Ham Utd;Н/О_Динамо Загреб
UEFA Europa League;2021-12-09;Marseille;Lokomotiv M.
UEFA Europa League;2021-12-09;Н/О_Селтик;Real Betis
UEFA Europa League;2021-12-09;Н/О_Брага;Н/О_Црвена Звезда
UEFA Europa League;2021-12-09;Н/О_Лудогорец;Н/О_Мидтьюлланд
UEFA Europa League;2021-12-09;Н/О_Лацио;Н/О_Галатасарай
UEFA Europa League;2021-12-09;Н/О_Генк;Н/О_Рапид Вена
UEFA Europa League;2021-12-09;Н/О_Ференцварош;Leverkusen
UEFA Europa League;2022-02-17;FC Barcelona;Н/О_Наполи
UEFA Europa League;2022-02-17;Н/О_Шериф;Н/О_Брага
UEFA Europa League;2022-02-17;Dortmund;Н/О_Рейнджерс
UEFA Europa League;2022-02-17;Zenit;Real Betis
UEFA Europa League;2022-02-17;RB Leipzig;Real Sociedad
UEFA Europa League;2022-02-17;Н/О_Аталанта;Н/О_Олимпиакос
UEFA Europa League;2022-02-17;Н/О_Порту;Н/О_Лацио
UEFA Europa League;2022-02-17;Sevilla FC;Н/О_Динамо Загреб
UEFA Europa League;2022-02-24;Н/О_Лацио;Н/О_Порту
UEFA Europa League;2022-02-24;Н/О_Динамо Загреб;Sevilla FC
UEFA Europa League;2022-02-24;Real Sociedad;RB Leipzig
UEFA Europa League;2022-02-24;Н/О_Олимпиакос;Н/О_Аталанта
UEFA Europa League;2022-02-24;Н/О_Брага;Н/О_Шериф
UEFA Europa League;2022-02-24;Real Betis;Zenit
UEFA Europa League;2022-02-24;Н/О_Рейнджерс;Dortmund
UEFA Europa League;2022-02-24;Н/О_Наполи;FC Barcelona
UEFA Europa League;2022-03-09;Н/О_Порту;Lyon
UEFA Europa League;2022-03-09;Real Betis;E. Frankfurt
UEFA Europa League;2022-03-10;Sevilla FC;West Ham Utd
UEFA Europa League;2022-03-10;Н/О_Аталанта;Leverkusen
UEFA Europa League;2022-03-10;Н/О_Брага;Monaco
UEFA Europa League;2022-03-10;Н/О_Рейнджерс;Н/О_Црвена Звезда
UEFA Europa League;2022-03-10;FC Barcelona;Н/О_Галатасарай
UEFA Europa League;2022-03-17;Н/О_Црвена Звезда;Н/О_Рейнджерс
UEFA Europa League;2022-03-17;Н/О_Галатасарай;FC Barcelona
UEFA Europa League;2022-03-17;Leverkusen;Н/О_Аталанта
UEFA Europa League;2022-03-17;Monaco;Н/О_Брага
UEFA Europa League;2022-03-17;West Ham Utd;Sevilla FC
UEFA Europa League;2022-03-17;E. Frankfurt;Real Betis
UEFA Europa League;2022-03-17;Lyon;Н/О_Порту
UEFA Europa League;2022-04-07;RB Leipzig;Н/О_Аталанта
UEFA Europa League;2022-04-07;West Ham Utd;Lyon
UEFA Europa League;2022-04-07;Н/О_Брага;Н/О_Рейнджерс
UEFA Europa League;2022-04-07;E. Frankfurt;FC Barcelona
UEFA Europa League;2022-04-14;Н/О_Аталанта;RB Leipzig
UEFA Europa League;2022-04-14;Н/О_Рейнджерс;Н/О_Брага
UEFA Europa League;2022-04-14;FC Barcelona;E. Frankfurt
UEFA Europa League;2022-04-14;Lyon;West Ham Utd
UEFA Europa League;2022-04-28;Н/О_;Н/О_
UEFA Europa League;2022-04-28;Н/О_;Н/О_
UEFA Europa League;2022-05-05;Н/О_;Н/О_
UEFA Europa League;2022-05-05;Н/О_;Н/О_
UEFA Europa League;2022-05-18;Н/О_;Н/О_
UEFA Europa Conference League;2021-08-03;Н/О_Богемиан;Н/О_ПАОК
UEFA Europa Conference League;2021-08-03;Н/О_Линфилд;Н/О_Фола Эш
UEFA Europa Conference League;2021-08-05;PFC Sochi;Н/О_Партизан
UEFA Europa Conference League;2021-08-05;Н/О_КуПС;Н/О_Астана
UEFA Europa Conference League;2021-08-05;Н/О_Тобол;Н/О_Жилина
UEFA Europa Conference League;2021-08-05;Н/О_Локомотив Пловдив;Н/О_Копенгаген
UEFA Europa Conference League;2021-08-05;Н/О_Эльфсборг;Н/О_Вележ
UEFA Europa Conference League;2021-08-05;Н/О_АЕЛ;Н/О_Карабах
UEFA Europa Conference League;2021-08-05;Н/О_Динамо Батуми;Н/О_Сивасспор
UEFA Europa Conference League;2021-08-05;Н/О_Лячи;Н/О_Андерлехт
UEFA Europa Conference League;2021-08-05;Н/О_Рига;Н/О_Хибернианс
UEFA Europa Conference League;2021-08-05;Н/О_Маккаби Хайфа;Н/О_ХБ Торсхавн
UEFA Europa Conference League;2021-08-05;Н/О_Войводина;Н/О_ЛАСК
UEFA Europa Conference League;2021-08-05;Н/О_ЦСКА София;Н/О_Осиек
UEFA Europa Conference League;2021-08-05;Н/О_Витесс;Н/О_Дандолк
UEFA Europa Conference League;2021-08-05;Н/О_Русенборг;Н/О_Домжале
UEFA Europa Conference League;2021-08-05;Н/О_Трабзонспор;Н/О_Мольде
UEFA Europa Conference League;2021-08-05;Н/О_Шленск;Н/О_Хапоэль Беер-Шева
UEFA Europa Conference League;2021-08-05;Н/О_Приштина;Н/О_Буде-Глимт
UEFA Europa Conference League;2021-08-05;Н/О_Пасуш де Феррейра;Н/О_Ларн
UEFA Europa Conference League;2021-08-05;Н/О_Колос;Н/О_Шахтер Караганда
UEFA Europa Conference League;2021-08-05;Н/О_Спартак Трнава;Н/О_Маккаби Тель-Авив
UEFA Europa Conference League;2021-08-05;Н/О_Гент;Н/О_РФШ
UEFA Europa Conference League;2021-08-05;Н/О_Люцерн;Н/О_Фейеноорд
UEFA Europa Conference League;2021-08-05;Н/О_Хиберниан;Н/О_Риека
UEFA Europa Conference League;2021-08-05;Н/О_Нью Сэйнтс;Н/О_Виктория Пльзень
UEFA Europa Conference League;2021-08-05;Н/О_Брейдаблик;Н/О_Абердин
UEFA Europa Conference League;2021-08-05;Н/О_Ракув;Rubin Kazan
UEFA Europa Conference League;2021-08-05;Н/О_Шэмрок Роверс;Н/О_Теута
UEFA Europa Conference League;2021-08-05;Н/О_Чукарички;Н/О_Хаммарбю
UEFA Europa Conference League;2021-08-05;Н/О_Уйпешт;Н/О_Базель
UEFA Europa Conference League;2021-08-05;Н/О_Санта-Клара;Н/О_Олимпия
UEFA Europa Conference League;2021-08-10;Н/О_Шахтер Караганда;Н/О_Колос
UEFA Europa Conference League;2021-08-10;Н/О_Домжале;Н/О_Русенборг
UEFA Europa Conference League;2021-08-12;Н/О_Астана;Н/О_КуПС
UEFA Europa Conference League;2021-08-12;Rubin Kazan;Н/О_Ракув
UEFA Europa Conference League;2021-08-12;Н/О_Мольде;Н/О_Трабзонспор
UEFA Europa Conference League;2021-08-12;Н/О_Карабах;Н/О_АЕЛ
UEFA Europa Conference League;2021-08-12;Н/О_Буде-Глимт;Н/О_Приштина
UEFA Europa Conference League;2021-08-12;Н/О_Хаммарбю;Н/О_Чукарички
UEFA Europa Conference League;2021-08-12;Н/О_Жилина;Н/О_Тобол
UEFA Europa Conference League;2021-08-12;Н/О_ПАОК;Н/О_Богемиан
UEFA Europa Conference League;2021-08-12;Н/О_Хапоэль Беер-Шева;Н/О_Шленск
UEFA Europa Conference League;2021-08-12;Н/О_Виктория Пльзень;Н/О_Нью Сэйнтс
UEFA Europa Conference League;2021-08-12;Н/О_РФШ;Н/О_Гент
UEFA Europa Conference League;2021-08-12;Н/О_Фола Эш;Н/О_Линфилд
UEFA Europa Conference League;2021-08-12;Н/О_Базель;Н/О_Уйпешт
UEFA Europa Conference League;2021-08-12;Н/О_Маккаби Тель-Авив;Н/О_Спартак Трнава
UEFA Europa Conference League;2021-08-12;Н/О_Вележ;Н/О_Эльфсборг
UEFA Europa Conference League;2021-08-12;Н/О_Андерлехт;Н/О_Лячи
UEFA Europa Conference League;2021-08-12;Н/О_Копенгаген;Н/О_Локомотив Пловдив
UEFA Europa Conference League;2021-08-12;Н/О_Сивасспор;Н/О_Динамо Батуми
UEFA Europa Conference League;2021-08-12;Н/О_Риека;Н/О_Хиберниан
UEFA Europa Conference League;2021-08-12;Н/О_Олимпия;Н/О_Санта-Клара
UEFA Europa Conference League;2021-08-12;Н/О_Хибернианс;Н/О_Рига
UEFA Europa Conference League;2021-08-12;Н/О_Теута;Н/О_Шэмрок Роверс
UEFA Europa Conference League;2021-08-12;Н/О_Фейеноорд;Н/О_Люцерн
UEFA Europa Conference League;2021-08-12;Н/О_Ларн;Н/О_Пасуш де Феррейра
UEFA Europa Conference League;2021-08-12;Н/О_ХБ Торсхавн;Н/О_Маккаби Хайфа
UEFA Europa Conference League;2021-08-12;Н/О_Абердин;Н/О_Брейдаблик
UEFA Europa Conference League;2021-08-12;Н/О_Дандолк;Н/О_Витесс
UEFA Europa Conference League;2021-08-12;Н/О_Партизан;PFC Sochi
UEFA Europa Conference League;2021-08-12;Н/О_ЛАСК;Н/О_Войводина
UEFA Europa Conference League;2021-08-12;Н/О_Осиек;Н/О_ЦСКА София
UEFA Europa Conference League;2021-08-19;Н/О_Шахтер Караганда;Н/О_Маккаби Тель-Авив
UEFA Europa Conference League;2021-08-19;Н/О_Карабах;Н/О_Абердин
UEFA Europa Conference League;2021-08-19;Н/О_Флора;Н/О_Шэмрок Роверс
UEFA Europa Conference League;2021-08-19;Н/О_КуПС;Union Berlin
UEFA Europa Conference League;2021-08-19;Н/О_Ракув;Н/О_Гент
UEFA Europa Conference League;2021-08-19;Н/О_Виктория Пльзень;Н/О_ЦСКА София
UEFA Europa Conference League;2021-08-19;Н/О_Хапоэль Беер-Шева;Н/О_Анортосис
UEFA Europa Conference League;2021-08-19;Н/О_ЛАСК;Н/О_Сент-Джонстон
UEFA Europa Conference League;2021-08-19;Н/О_Рига;Н/О_Линкольн
UEFA Europa Conference League;2021-08-19;Н/О_Жальгирис Вильнюс;Н/О_Буде-Глимт
UEFA Europa Conference League;2021-08-19;Н/О_Нефтчи;Н/О_Маккаби Хайфа
UEFA Europa Conference League;2021-08-19;Н/О_Трабзонспор;Н/О_Рома
UEFA Europa Conference League;2021-08-19;Н/О_Базель;Н/О_Хаммарбю
UEFA Europa Conference League;2021-08-19;Н/О_Фола Эш;Н/О_Кайрат
UEFA Europa Conference League;2021-08-19;Rennes;Н/О_Русенборг
UEFA Europa Conference League;2021-08-19;Н/О_Сивасспор;Н/О_Копенгаген
UEFA Europa Conference League;2021-08-19;Н/О_Яблонец;Н/О_Жилина
UEFA Europa Conference League;2021-08-19;Н/О_Фейеноорд;Н/О_Эльфсборг
UEFA Europa Conference League;2021-08-19;Н/О_ПАОК;Н/О_Риека
UEFA Europa Conference League;2021-08-19;Н/О_Андерлехт;Н/О_Витесс
UEFA Europa Conference League;2021-08-19;Н/О_Пасуш де Феррейра;Tottenham
UEFA Europa Conference League;2021-08-19;Н/О_Санта-Клара;Н/О_Партизан
UEFA Europa Conference League;2021-08-26;Н/О_Кайрат;Н/О_Фола Эш
UEFA Europa Conference League;2021-08-26;Н/О_Линкольн;Н/О_Рига
UEFA Europa Conference League;2021-08-26;Н/О_Жилина;Н/О_Яблонец
UEFA Europa Conference League;2021-08-26;Н/О_Буде-Глимт;Н/О_Жальгирис Вильнюс
UEFA Europa Conference League;2021-08-26;Н/О_Хаммарбю;Н/О_Базель
UEFA Europa Conference League;2021-08-26;Н/О_ЦСКА София;Н/О_Виктория Пльзень
UEFA Europa Conference League;2021-08-26;Н/О_Анортосис;Н/О_Хапоэль Беер-Шева
UEFA Europa Conference League;2021-08-26;Н/О_Маккаби Хайфа;Н/О_Нефтчи
UEFA Europa Conference League;2021-08-26;Н/О_Копенгаген;Н/О_Сивасспор
UEFA Europa Conference League;2021-08-26;Н/О_Витесс;Н/О_Андерлехт
UEFA Europa Conference League;2021-08-26;Н/О_Русенборг;Rennes
UEFA Europa Conference League;2021-08-26;Н/О_Рома;Н/О_Трабзонспор
UEFA Europa Conference League;2021-08-26;Н/О_Эльфсборг;Н/О_Фейеноорд
UEFA Europa Conference League;2021-08-26;Н/О_Маккаби Тель-Авив;Н/О_Шахтер Караганда
UEFA Europa Conference League;2021-08-26;Н/О_Гент;Н/О_Ракув
UEFA Europa Conference League;2021-08-26;Н/О_Риека;Н/О_ПАОК
